"","host_id","group","infector_id","infector_group","exposure_time","infectious_time","recovery_time"
"1",870,1,NA,NA,0,0,4
"2",12700,1,NA,NA,0,0,8
"3",10006,1,NA,NA,0,0,3
"4",11511,1,NA,NA,0,0,6
"5",168,1,NA,NA,0,0,5
"6",10498,1,NA,NA,0,0,5
"7",2791,1,10056,1,3,5,9
"8",8228,1,NA,NA,0,0,7
"9",6624,1,8883,1,4,6,11
"10",2238,1,8228,1,1,5,11
"11",8883,1,10006,1,1,3,9
"12",10056,1,12700,1,1,3,9
"13",12712,1,2238,1,6,8,13
"14",6089,1,6624,1,7,8,13
"15",8232,1,2791,1,6,8,16
"16",9814,1,2791,1,6,8,13
"17",13058,1,8883,1,3,6,11
"18",7474,1,168,1,4,6,12
"19",7516,1,10056,1,4,7,11
"20",11675,1,7474,1,8,9,14
"21",5525,1,8883,1,6,8,14
"22",11215,1,7474,1,7,9,14
"23",566,1,7474,1,7,9,14
"24",2818,1,11215,1,10,11,18
"25",7187,1,7516,1,9,10,15
"26",9090,1,7516,1,7,11,17
"27",2580,1,6624,1,7,8,14
"28",5691,1,2818,1,12,13,18
"29",12932,1,6624,1,7,9,14
"30",4105,1,2818,1,12,13,18
"31",5939,1,7516,1,8,11,16
"32",7795,1,7516,1,8,11,16
"33",8513,1,2791,1,7,9,16
"34",12758,1,5525,1,10,12,17
"35",924,1,8376,1,13,15,19
"36",3564,1,7187,1,11,12,16
"37",5338,1,7187,1,10,12,16
"38",5635,1,7187,1,11,13,17
"39",10615,1,7187,1,12,14,18
"40",4679,1,8232,1,12,14,18
"41",4872,1,11215,1,11,15,20
"42",8130,1,5430,1,15,16,22
"43",10231,1,11215,1,10,12,19
"44",11935,1,8198,1,14,16,20
"45",2315,1,2791,1,8,12,18
"46",3709,1,7516,1,10,13,18
"47",5105,1,3709,1,14,15,19
"48",5155,1,4679,1,15,17,22
"49",5430,1,5338,1,13,15,19
"50",8376,1,7187,1,10,12,19
"51",9889,1,4105,1,14,16,22
"52",1334,1,7187,1,12,14,20
"53",1787,1,11317,1,17,18,24
"54",1961,1,5105,1,17,18,23
"55",5958,1,4679,1,16,18,23
"56",7162,1,1334,1,15,17,23
"57",9294,1,11601,1,17,18,23
"58",14,1,2818,1,12,14,21
"59",2957,1,7795,1,13,18,23
"60",7921,1,8198,1,15,17,23
"61",8198,1,6089,1,10,13,21
"62",10807,1,4105,1,14,15,22
"63",855,1,7921,1,18,19,24
"64",2384,1,10615,1,15,18,24
"65",4261,1,1961,1,19,20,24
"66",5597,1,7921,1,18,20,25
"67",6477,1,8198,1,14,15,22
"68",7262,1,3709,1,15,16,22
"69",7604,1,3709,1,14,19,24
"70",9376,1,11317,1,17,19,23
"71",9534,1,5444,1,18,20,24
"72",11601,1,10231,1,14,16,21
"73",12935,1,11601,1,17,18,26
"74",3370,1,7273,1,20,21,25
"75",4073,1,6477,1,17,20,26
"76",4622,1,5958,1,19,20,25
"77",5444,1,10807,1,15,17,22
"78",9481,1,5939,1,14,16,22
"79",10339,1,1787,1,18,19,25
"80",11317,1,8376,1,13,16,24
"81",12736,1,8499,1,20,21,25
"82",488,1,4073,1,21,22,29
"83",6834,1,10807,1,17,18,25
"84",10947,1,3991,1,21,22,27
"85",11185,1,1334,1,16,17,23
"86",11245,1,1961,1,19,20,25
"87",141,1,7273,1,21,23,28
"88",926,1,7604,1,20,22,27
"89",3893,1,7162,1,20,23,29
"90",4503,1,5958,1,19,21,26
"91",6364,1,11935,1,19,20,25
"92",6484,1,1334,1,15,17,24
"93",7273,1,11185,1,18,19,24
"94",8499,1,11935,1,18,19,25
"95",12870,1,11185,1,18,19,24
"96",1681,1,5958,1,19,22,27
"97",3239,1,9294,1,19,21,26
"98",4157,1,6484,1,18,19,26
"99",4799,1,14,1,15,20,25
"100",5949,1,12736,1,22,24,27
"101",6005,1,9376,1,19,21,26
"102",7468,1,488,1,22,23,29
"103",9817,1,6005,1,23,24,29
"104",11146,1,9239,1,22,24,30
"105",12680,1,11935,1,17,20,25
"106",12768,1,7921,1,18,19,25
"107",13371,1,4503,1,23,24,30
"108",2788,1,5958,1,20,23,29
"109",3991,1,6477,1,17,20,26
"110",4263,1,9534,1,22,23,29
"111",5936,1,11825,1,22,24,29
"112",6015,1,3370,1,22,24,31
"113",7981,1,4503,1,23,25,29
"114",12409,1,4157,1,20,22,27
"115",1210,1,9534,1,20,23,31
"116",2358,1,3239,1,22,25,33
"117",3601,1,4503,1,21,23,28
"118",5463,1,9239,1,22,25,30
"119",6828,1,10339,1,22,24,29
"120",7282,1,12870,1,22,24,28
"121",7491,1,926,1,25,26,32
"122",7580,1,4503,1,23,25,32
"123",8085,1,12768,1,21,23,28
"124",8127,1,4073,1,21,24,30
"125",9239,1,11935,1,19,21,27
"126",10440,1,5597,1,23,25,29
